Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2765572,"November 28, 2023",Texas,Waxahachie,3001 US-287,Waxahachie High School,0,0,0,0,0
2764980,"November 27, 2023",South Carolina,Florence,1119 N Irby St,Williams Middle School,0,0,0,0,1
2764821,"November 27, 2023",Kansas,Kansas City,2214 N 59 St,F.L. Schlagle High School,0,0,0,0,1
2765549,"November 27, 2023",Georgia,Lagrange,1920 Hamilton Rd,Troup County High School,0,0,0,0,1
2765532,"November 27, 2023",Illinois,Chicago,339 E Chicago Ave,Kellogg Wieboldt Hall,0,0,0,0,0
2762927,"November 21, 2023",Nevada,Las Vegas,4291 Pennwood Ave,Ed W Clark High School,0,0,0,0,1
2761285,"November 21, 2023",North Carolina,Greenville,2568 NC-33,Belvoir Elementary School,0,0,0,0,1
2761194,"November 20, 2023",California,Santa Rosa,1501 Mendocino Ave,Santa Rosa Junior COllege,0,0,0,0,1
2761534,"November 18, 2023",Virginia,Dumfries,3401 Panther Pride Dr,Potomac High School,0,0,0,0,1
2760605,"November 18, 2023",Tennessee,Knoxville,1300 Phillip Fulmer Way,Neyland Stadium,0,0,0,0,1
2759551,"November 17, 2023",Maryland,Rockville,250 Richard Montgomery Dr,Richard Montgomery High School,0,0,0,0,0
2758692,"November 17, 2023",Louisiana,Scott,315 Rue du Belier,Acadiana High School,0,0,0,0,1
2757004,"November 16, 2023",Minnesota,Minneapolis (New Hope),8230 47th Ave N,Cooper High School,0,0,0,0,2
2757816,"November 16, 2023",Illinois,Peoria,811 S Griswold St,Manual High School,0,0,0,0,1
2757461,"November 16, 2023",Tennessee,Martin,201 Hannings Ln,"University of Tennessee at Martin, Arnold Pryor Building",0,0,0,0,0
2756405,"November 15, 2023",Kentucky,Lexington,1600 Man O War Blvd,Paul Laurence Dunbar High School,0,0,0,0,1
2756262,"November 15, 2023",Alabama,Muscle Shoals,100 Trojan Dr,Muscle Shoals Middle School,0,0,0,0,1
2757154,"November 15, 2023",Arizona,Phoenix,7107 N Black Cyn Hwy,Cornerstone Charter High School,0,0,0,0,1
2756872,"November 15, 2023",Oregon,Salem,2440 NE Lancaster Dr,McKay High School,0,0,0,0,1
2757496,"November 15, 2023",Ohio,Cleveland (Shaker Heights),15911 Aldersyde Dr,Shaker Heights High School,0,0,0,0,1
2757494,"November 15, 2023",Ohio,Toledo,2200 Arlington Ave,Bowsher High School,0,0,0,0,1
2756188,"November 14, 2023",North Carolina,Washington,400 Slatestone Rd,Washington High School,0,0,0,0,1
2755367,"November 14, 2023",Tennessee,Munford,1080 McLaughlin Dr,Munford High School,0,0,0,0,1
2756273,"November 14, 2023",Alabama,Somerville,100 Cotaco School Rd,Cotaco School,0,0,0,0,0
2756112,"November 14, 2023",Michigan,Lincoln Park,1701 Champaign Rd,Lincoln Park High School,0,0,0,0,1
2756292,"November 14, 2023",Illinois,Peoria,811 S Griswold St,Manual High School,0,0,0,0,2
2755911,"November 14, 2023",South Carolina,Columbia,6671 St Andrews Rd,Irmo High School,0,0,0,0,1
2755728,"November 14, 2023",California,Redlands,1000 W Cypress Ave,Cope Middle School,0,0,0,0,2
2755426,"November 14, 2023",Maryland,Bowie,15200 Annapolis Rd,Bowie High School,0,0,0,0,1
2754506,"November 13, 2023",Ohio,Massillon,250 29th St NW,Massillon Junior High School,0,0,0,0,1
2756202,"November 13, 2023",Oregon,Medford,1551 Cunningham Ave,South Medford High School,0,0,0,0,0
2753938,"November 13, 2023",Texas,Prairie View,200 block of E M Norris St,Prairie View A&M University,1,0,0,0,1
2754860,"November 13, 2023",Texas,Victoria,2200 E Red River St,Victoria College,0,1,0,0,0
2754543,"November 13, 2023",Texas,Hempstead,35753 Owens Rd,Herman T Jones Elementary School,0,0,0,0,0
2754154,"November 13, 2023",New Jersey,Newark,246 18th Ave,Central High School,0,1,0,0,0
2758102,"November 11, 2023",California,San Luis Obispo,Cal Poly Rd,California Polytechnic State University,0,0,0,0,2
2758232,"November 10, 2023",Oklahoma,Broken Arrow,6501 S Garnett Rd,Union Eighth Grade Center,0,0,0,0,1
2752988,"November 10, 2023",Georgia,Commerce,272 Lakeview Dr,Commerce High School,0,0,0,0,1
2752204,"November 10, 2023",Tennessee,Alamo,2556 TN-88,Maury City Elementary School,0,0,0,0,1
2752201,"November 10, 2023",Michigan,Wyoming,982 Lee St SW,East Lee Campus,0,0,0,0,1
2751914,"November 10, 2023",Oklahoma,Langston,701 Sammy Davis Jr Dr,Langston Center,0,2,0,0,0
2752417,"November 10, 2023",Texas,San Antonio,400 Eagleland Dr,Brackenridge High School,0,0,0,0,1
2752997,"November 10, 2023",California,Vallejo,840 Nebraska St,Vallejo High School,0,1,0,0,0
2762596,"November 9, 2023",Ohio,Cleveland,1701 Castle Ave,Luis Muñoz Marin School Dual Language Academy,0,0,0,0,0
2752833,"November 9, 2023",Alabama,Atmore,1215 S Presley St,Atmore High School,0,2,0,0,0
2751271,"November 9, 2023",Idaho,Boise,1105 N 13th St,North Junior High,0,0,0,0,1
2751143,"November 9, 2023",Alabama,Birmingham,1114 Oxmoor Rd,Dawson Family Recreation Hall,0,0,0,0,1
2751563,"November 9, 2023",Texas,Killeen,6000 Brushy Creek Dr,Roy J Smith Middle School,0,0,0,0,1
2752084,"November 9, 2023",North Carolina,Huntersville,11201 Old Statesville Rd,North Mecklenburg High School,0,0,0,0,1
2751225,"November 9, 2023",Indiana,Muncie,,"Baker Hall, Noyer Complex, Ball State University",0,0,0,1,1
2750939,"November 8, 2023",Ohio,Reynoldsburg,8579 Summit Rd,Reynoldsburg High School - Summit Campus,0,0,0,0,1
2751265,"November 8, 2023",Pennsylvania,Philadelphia,Cecil B Moore Ave and N Broad St,Temple University Campus,0,0,0,0,0
2750531,"November 7, 2023",Florida,Eustis,1300 E Washington Ave,Eustis High School,0,0,0,0,1
